territory,period,unemployment_rate
Brasil,dez-jan-fev 2025,6.8
Brasil,jan-fev-mar 2025,7.0
Brasil,fev-mar-abr 2025,6.6
Brasil,mar-abr-mai 2025,6.2
Brasil,abr-mai-jun 2025,5.8
Brasil,mai-jun-jul 2025,5.6
Brasil,jun-jul-ago 2025,5.6
Brasil,jul-ago-set 2025,5.6
Brasil,ago-set-out 2025,5.4
Brasil,set-out-nov 2025,5.2
